# Panoptic collateral share flows (deposits positive, withdraws negative).
# Source: CollateralDeposit / CollateralWithdraw events, confirmed Base market.
# Used by the collateral-channel alternative (spec 6.2.4) to reconstruct
# per-account collateral share BALANCES as a step function of time.
owner,timestamp_unix,vault_index,shares_delta
0xb28c04c6e4f234225e62ac72111075ff77746558,1783086127,0,-4.36590292063218e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783086127,1,-8.081800305e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783093833,0,4.365951164098859e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783093833,1,8.1513334673e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783093833,0,-4.3659737203240154e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783093833,1,-8.139375521e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783097579,0,4.3678664807002486e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783097579,1,8.1346838539e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783097579,0,-4.367967416984119e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783097579,1,-8.1150529116e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783101147,0,4.3675766455246166e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783101147,1,8.1370723748e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783101147,0,-4.3675615149503794e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783101147,1,-8.1376702714e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783104789,0,4.367164042167848e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783104789,1,8.1400537142e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783104789,0,-4.367142452545045e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783104789,1,-8.1435414404e10
