# Panoptic υ variance regressor σ̂²_t, EIV instrument σ̃²_t, pool tick i_t (CTX-VAR)
# σ̂²_t (sigma2)            = daily realized variance of within-day V4
#   tick-implied log-price increments over the FULL within-day Swap series.
# σ̃²_t (sigma2_instrument) = the SAME estimator on the DISJOINT even-swap
#   intraday sub-window (0-based even positions) — the two-noisy-measures IV.
# i_t (pool_tick_mean)     = mean underlying pool tick over the same day,
#   from the SAME Swap series (the panel's moneyness anchor).
# epoch = UTC-day index floor(unixSeconds/86400) (same boundary as the panel).
# Source: Uniswap V4 PoolManager Swap logs on Base via chunked eth_getLogs
#   (poolId 0x96d4…288c0a); BigQuery path retired (project suspended).
epoch,sigma2,sigma2_instrument,pool_tick_mean
20569,8.15718427477216e-5,1.049095089616497e-4,-198720.36342113052
20570,1.1308869103661514e-4,1.5524447542304625e-4,-198792.3410138249
20571,6.842315762717202e-5,9.458054186693517e-5,-198983.33609553985
20572,1.525947403987866e-4,1.9170082975725512e-4,-198969.02908587258
20573,1.0826917299246427e-4,1.1328867103847125e-4,-199097.60124276837
20574,7.813218671621209e-5,1.0576942296955422e-4,-198943.6236040609
20575,3.2726727299997684e-5,3.726627334161055e-5,-198877.30745967742
20576,6.148385156359192e-5,8.313168676202382e-5,-198813.29842416284
20577,1.8295170467701278e-4,2.524847513143682e-4,-198683.90476190476
20578,8.697130279724194e-5,1.2276772312537685e-4,-198593.55512965051
20579,1.0257974194029954e-4,1.3853614626990345e-4,-198603.1530013255
20580,7.646235370090904e-5,1.0753924598578223e-4,-198854.27423076922
20581,6.594340560447233e-5,8.972102782242788e-5,-198959.27229769639
20582,2.4937506228595588e-5,3.109689028505723e-5,-198834.34722222222
20583,7.684231570435312e-5,1.0362963694988449e-4,-198723.22617354197
20584,7.705229470630681e-5,8.895110481537873e-5,-198745.98517545505
20585,7.473252668503498e-5,9.81801818999634e-5,-198960.47783721818
20586,7.293270666854433e-5,8.959104082124178e-5,-199011.05860655737
20587,6.835316462657663e-5,9.467053286781594e-5,-199011.94187650914
20588,1.0962903700493092e-4,1.2876712318036243e-4,-199154.7724836212
20589,9.616038388146993e-5,1.1029897001107402e-4,-199405.82127429807
20590,1.9730026980859961e-4,1.8666133371106992e-4,-199459.09976133652
20591,3.472652731832935e-4,3.764623534508915e-4,-199744.5283254305
20592,1.425457453066677e-4,1.7446255359923477e-4,-199731.44792219275
20593,1.1531846805698339e-4,1.2782721717164585e-4,-199699.49866105584
20594,8.667133279444693e-5,1.1469853005135088e-4,-199681.2485486212
20595,2.677132284538616e-4,2.2693730608011018e-4,-199782.81880775501
20596,3.580441952820264e-4,3.326267370490355e-4,-199961.5570221753
20597,1.6931306855204141e-4,1.623937604886086e-4,-199809.84583333333
20598,5.905409454132792e-5,7.903209672445451e-5,-199758.90671108995
20599,2.6992300747415447e-4,3.102389758437131e-4,-199842.1487804878
20600,1.4878512136385743e-4,1.8972102773908513e-4,-200012.61466582198
20601,3.9223077659545697e-4,4.25507448900477e-4,-200340.92289217544
20602,1.0931906800206233e-4,1.4679532034559323e-4,-200253.2574468085
20603,4.22557743873488e-5,4.6915308430061284e-5,-200219.52489424017
20604,4.826517344241417e-5,6.836316362663826e-5,-200234.73148450244
20605,2.3528647115680197e-4,2.886911306463184e-4,-200380.97086864407
20606,1.229427056269776e-3,8.266073385772185e-4,-200604.87933606864
20607,7.330566937194866e-4,7.754924501085498e-4,-201118.61397637796
20608,7.143385655479129e-3,7.354524541415275e-3,-201519.17209383752
20609,3.7431456823109406e-3,2.8101689807594472e-3,-202287.44078790763
20610,1.2852414747812355e-3,1.273582640674372e-3,-202791.28980074966
20611,1.20317968102893e-3,1.0241175873875873e-3,-202378.2237431558
20612,5.926207374323573e-4,7.1618838056505e-4,-202042.7412195122
20613,8.424257567221032e-4,5.14738525718381e-4,-202186.57452686835
20614,5.403859609534697e-4,5.532846710717285e-4,-202347.21422471636
20615,3.811818814941101e-4,4.4408559107065687e-4,-202199.48768115943
20616,2.9894010574032723e-4,3.3542645707477294e-4,-202120.9338824577
