# FINAL ESTIMATION PANEL v2 — Panoptic upsilon identification (phase 10, plan 10-10).
# One row per POSITION-EPOCH (tokenId x hourly epoch) — the spec section-1 unit of
# observation, restored by plan 10-09. Supersedes estimation-panel.csv, which is the
# Phase-9 accrual-SPELL export and is retained unchanged.
# git commit: ddf649e
# LHS source : notes/structural-econometrcics/data/panel-epoch.csv
# RHS source : notes/structural-econometrcics/data/variance-hourly.csv (joined on epoch, exact integer match)
# tokenId  : account#tokenId (the tokenId clustering label; account = prefix before #)
# epoch    : hourly index floor(unixSeconds/3600) — the epoch the premium ACCRUED in
# pi       : premium accrued to the SHORT side over the epoch, ETH (a FLOW, not a stock)
# sigma2   : realized variance of the epoch, from the joined variance series
# sigma2_instrument : disjoint even-swap sub-window RV of the same epoch (EIV instrument)
# distance : moneyness d = |i_K - i_t| in ticks, i_t = the epoch's mean pool tick
tokenId,epoch,pi,sigma2,sigma2_instrument,distance
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493933,1.810813398e-9,6.06939305563659e-6,8.589141078734507e-6,350.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493934,2.259630096e-9,1.2038796110356605e-5,1.5798420144820156e-5,417.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493935,1.426761996e-9,6.2893710576530715e-6,8.829117080934298e-6,452.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493936,9.57306936e-10,2.959704027130872e-6,4.37956204014635e-6,468.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493937,1.24401385e-9,5.719428052428542e-6,8.919108081759226e-6,477.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493938,7.48424356e-10,2.5097490230062443e-6,3.869613035471777e-6,439.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493939,8.28509834e-10,3.359664030797203e-6,4.85951404454595e-6,463.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493940,6.35718396e-10,2.379762021814685e-6,3.569643032722026e-6,454.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493941,5.33555266e-10,1.5198480139320685e-6,2.1997800201648343e-6,483.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493942,6.6775583e-10,2.3497650215397116e-6,3.2996700302472513e-6,496.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493943,2.7778527e-10,1.8198180166818175e-6,2.1397860196148845e-6,479.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493944,4.49177916e-10,1.0698930098074427e-6,1.5498450142070417e-6,476.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493945,4.8928475e-10,1.4598540133821185e-6,1.759824016131867e-6,499.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493946,1.294315222e-9,6.919308063425409e-6,9.609039088079382e-6,532.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493947,6.63577082e-10,3.0296970277703467e-6,4.729527043350129e-6,549.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493948,2.29632856e-10,6.399360058661337e-7,8.999100082492509e-7,518.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493949,3.58303502e-10,1.0198980093491506e-6,1.3198680120989007e-6,519.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493950,7.090675e-10,1.8098190165837664e-6,2.599740023821222e-6,548.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493951,3.87313406e-10,1.5598440142972811e-6,2.299770021079286e-6,550.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493952,1.94482364e-10,1.0198980093491506e-6,1.3198680120989003e-6,504.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493953,5.24337346e-10,1.7198280157652345e-6,2.259774020714784e-6,495.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493954,3.36125426e-10,1.4098590129238265e-6,1.8098190165901583e-6,496.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493955,4.02560106e-10,2.5697430235561936e-6,3.2896710301555934e-6,470.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493956,1.1125117e-9,3.4796520318971037e-6,5.199480047662334e-6,470.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493957,1.134519944e-9,3.879612035560593e-6,5.299470048575365e-6,532.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493958,1.45888133e-9,5.799420053161804e-6,8.719128079926055e-6,507.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493959,1.061548436e-9,7.989201073234967e-6,6.309369057836407e-6,508.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493960,6.55161506e-10,2.189781020073178e-6,2.5397460232812177e-6,476.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493961,1.145968584e-9,6.0193980551783e-6,8.619138079009474e-6,415.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493962,6.81027138e-10,6.64933506095277e-6,8.969103082217516e-6,369.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493963,4.31607756e-10,1.579842014482019e-6,2.199780020164834e-6,362.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493964,4.59030222e-10,9.999000091658339e-7,1.4398560131988003e-6,384.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493965,2.59564336e-10,1.0098990092574931e-6,1.3298670121905589e-6,391.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493966,3.79281524e-10,8.299170076076425e-7,1.1698830107240258e-6,367.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493967,3.86696216e-10,1.1498850105407088e-6,1.4998500137487505e-6,402.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493968,1.73461626e-10,6.599340060494501e-7,7.599240069660333e-7,400.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493969,2.279032e-10,1.079892009899101e-6,1.4998500137487499e-6,378.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493970,1.4956961e-10,6.399360058661337e-7,9.399060086158836e-7,359.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493971,2.93716074e-10,7.199280065994005e-7,8.399160076993004e-7,361.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493972,5.16397012e-10,1.979802018148351e-6,2.4197580221813172e-6,356.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493973,1.70121494e-10,1.0498950096241257e-6,1.229877011273975e-6,368.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493974,2.58231732e-10,8.699130079742755e-7,1.3298670121905584e-6,364.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493975,1.93852118e-10,6.399360058661338e-7,7.399260067827171e-7,367.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493976,1.23555814e-10,1.3798620126488496e-6,1.6198380148486501e-6,355.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493977,3.07815648e-10,5.69943005224525e-7,5.69943005224525e-7,368.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493978,1.78412272e-10,5.499450050412084e-7,5.699430052245251e-7,379.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493979,2.6767498e-11,1.5998400146653337e-7,1.3998600128321669e-7,372.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493980,1.2510038e-10,2.9997000274975e-7,3.5996400329969986e-7,366.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493981,1.22693332e-10,1.6998300155819172e-7,2.2997700210814168e-7,371.0
