tokenId,account,epoch_mint,epoch_burn,spell_days,premium_usd,premium_usd_per_day,strike_tick,tick_at_mint,tick_at_burn,is_long
13928913568582533482669339610122,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,4.1435185185185186e-2,1.542980137593091e-6,3.723840332068242e-5,-201740,-201795,-201733,0
13928909781226167477140168674314,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,8.576388888888889e-2,8.510279375250015e-8,9.922916842396778e-7,-201790,-201733,-201747,0
13928918102054357037528744758282,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,8.576388888888889e-2,1.4033174767087212e-6,1.6362568149478205e-5,-201680,-201733,-201747,0
13928909025647530217996934482954,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,4.7685185185185185e-2,1.1853427666480551e-8,2.485767355300776e-7,-201800,-201747,-201656,0
13928917346475719778385510566922,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,4.7685185185185185e-2,1.232378630314534e-7,2.584405671339217e-6,-201690,-201747,-201656,0
13928913559119353772856339631114,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,8.918981481481482e-2,1.0827140425816092e-6,1.2139435930320664e-5,-201740,-201656,-201755,0
13928921879947543333244915715082,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,8.918981481481482e-2,4.04102384118845e-8,4.5308131310495985e-7,-201630,-201656,-201755,0
13928908270068892958853700291594,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,4.335648148148148e-2,8.493651915069859e-8,1.959027030064164e-6,-201810,-201755,-201751,0
13928916590897082519242276375562,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,4.335648148148148e-2,1.4198592096526463e-9,3.27484879108352e-8,-201700,-201755,-201751,0
13928916590897082519242276375562,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,4.1296296296296296e-2,2.5868319648100655e-9,6.264077403575943e-8,-201700,-201751,-201717,0
13928911292383441995426637057034,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,4.2152777777777775e-2,4.049767821907764e-8,9.607356941593378e-7,-201770,-201717,-201717,0
13928918857632994296671978949642,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,4.2152777777777775e-2,9.771030141660325e-11,2.318003855682186e-9,-201670,-201717,-201717,0
