# epoch-blocks.csv — HOURLY epoch -> first Base block at or after epoch*3600
# RPC: https://mainnet.base.org   built: 2026-07-21
# epoch rule: Panel.Build.epochOfSeconds 3600 (single source of truth); boundary instant = epoch * 3600
# window blocks 43781657..48879461; columns: epoch, block_number, block_timestamp (unix seconds)
epoch,block_number,block_timestamp
493219,44399527,1775588401
493220,44401327,1775592001
493221,44403127,1775595601
493222,44404927,1775599201
493223,44406727,1775602801
493224,44408527,1775606401
493225,44410327,1775610001
493226,44412127,1775613601
493227,44413927,1775617201
493228,44415727,1775620801
493229,44417527,1775624401
493230,44419327,1775628001
493231,44421127,1775631601
493232,44422927,1775635201
493233,44424727,1775638801
493234,44426527,1775642401
493235,44428327,1775646001
493236,44430127,1775649601
493237,44431927,1775653201
493238,44433727,1775656801
493239,44435527,1775660401
493240,44437327,1775664001
493241,44439127,1775667601
493242,44440927,1775671201
493243,44442727,1775674801
493244,44444527,1775678401
493245,44446327,1775682001
493246,44448127,1775685601
493247,44449927,1775689201
493248,44451727,1775692801
493249,44453527,1775696401
493250,44455327,1775700001
493251,44457127,1775703601
493252,44458927,1775707201
493253,44460727,1775710801
493254,44462527,1775714401
493255,44464327,1775718001
493256,44466127,1775721601
493257,44467927,1775725201
493258,44469727,1775728801
493259,44471527,1775732401
493260,44473327,1775736001
493261,44475127,1775739601
493262,44476927,1775743201
493263,44478727,1775746801
493264,44480527,1775750401
493265,44482327,1775754001
493266,44484127,1775757601
493267,44485927,1775761201
493268,44487727,1775764801
493269,44489527,1775768401
493270,44491327,1775772001
493271,44493127,1775775601
493272,44494927,1775779201
493273,44496727,1775782801
493274,44498527,1775786401
493275,44500327,1775790001
493276,44502127,1775793601
493277,44503927,1775797201
493278,44505727,1775800801
493279,44507527,1775804401
493280,44509327,1775808001
493281,44511127,1775811601
493282,44512927,1775815201
493283,44514727,1775818801
493284,44516527,1775822401
493285,44518327,1775826001
493286,44520127,1775829601
493287,44521927,1775833201
493288,44523727,1775836801
493289,44525527,1775840401
493290,44527327,1775844001
493291,44529127,1775847601
493292,44530927,1775851201
493293,44532727,1775854801
493294,44534527,1775858401
493295,44536327,1775862001
493296,44538127,1775865601
493297,44539927,1775869201
493298,44541727,1775872801
493299,44543527,1775876401
493300,44545327,1775880001
493301,44547127,1775883601
493302,44548927,1775887201
493303,44550727,1775890801
493304,44552527,1775894401
493305,44554327,1775898001
493306,44556127,1775901601
493307,44557927,1775905201
493308,44559727,1775908801
493309,44561527,1775912401
493310,44563327,1775916001
493311,44565127,1775919601
493312,44566927,1775923201
493313,44568727,1775926801
493314,44570527,1775930401
493315,44572327,1775934001
493316,44574127,1775937601
493317,44575927,1775941201
493318,44577727,1775944801
493319,44579527,1775948401
493320,44581327,1775952001
493321,44583127,1775955601
493322,44584927,1775959201
493323,44586727,1775962801
493324,44588527,1775966401
493325,44590327,1775970001
493326,44592127,1775973601
493327,44593927,1775977201
493328,44595727,1775980801
493329,44597527,1775984401
493330,44599327,1775988001
493331,44601127,1775991601
493332,44602927,1775995201
493333,44604727,1775998801
493334,44606527,1776002401
493335,44608327,1776006001
493336,44610127,1776009601
493337,44611927,1776013201
493338,44613727,1776016801
493339,44615527,1776020401
493340,44617327,1776024001
493341,44619127,1776027601
493342,44620927,1776031201
493343,44622727,1776034801
493344,44624527,1776038401
493345,44626327,1776042001
493346,44628127,1776045601
493347,44629927,1776049201
493348,44631727,1776052801
493349,44633527,1776056401
493350,44635327,1776060001
493351,44637127,1776063601
493352,44638927,1776067201
493353,44640727,1776070801
493354,44642527,1776074401
493355,44644327,1776078001
493356,44646127,1776081601
493357,44647927,1776085201
493358,44649727,1776088801
493359,44651527,1776092401
493360,44653327,1776096001
493361,44655127,1776099601
493362,44656927,1776103201
493363,44658727,1776106801
493364,44660527,1776110401
493365,44662327,1776114001
493366,44664127,1776117601
493367,44665927,1776121201
493368,44667727,1776124801
493369,44669527,1776128401
493370,44671327,1776132001
493371,44673127,1776135601
493372,44674927,1776139201
493373,44676727,1776142801
493374,44678527,1776146401
493375,44680327,1776150001
493376,44682127,1776153601
493377,44683927,1776157201
493378,44685727,1776160801
493379,44687527,1776164401
493380,44689327,1776168001
493381,44691127,1776171601
493382,44692927,1776175201
493383,44694727,1776178801
493384,44696527,1776182401
493385,44698327,1776186001
493386,44700127,1776189601
493387,44701927,1776193201
493388,44703727,1776196801
493389,44705527,1776200401
493390,44707327,1776204001
493391,44709127,1776207601
493392,44710927,1776211201
493393,44712727,1776214801
493394,44714527,1776218401
493395,44716327,1776222001
493396,44718127,1776225601
493397,44719927,1776229201
493398,44721727,1776232801
493399,44723527,1776236401
493400,44725327,1776240001
493401,44727127,1776243601
493402,44728927,1776247201
493403,44730727,1776250801
493404,44732527,1776254401
493405,44734327,1776258001
493406,44736127,1776261601
493407,44737927,1776265201
493408,44739727,1776268801
493409,44741527,1776272401
493410,44743327,1776276001
493411,44745127,1776279601
493412,44746927,1776283201
493413,44748727,1776286801
493414,44750527,1776290401
493415,44752327,1776294001
493416,44754127,1776297601
493417,44755927,1776301201
493418,44757727,1776304801
493419,44759527,1776308401
493420,44761327,1776312001
493421,44763127,1776315601
493422,44764927,1776319201
493423,44766727,1776322801
493424,44768527,1776326401
493425,44770327,1776330001
493426,44772127,1776333601
493427,44773927,1776337201
493428,44775727,1776340801
493429,44777527,1776344401
493430,44779327,1776348001
493431,44781127,1776351601
493432,44782927,1776355201
493433,44784727,1776358801
493434,44786527,1776362401
493435,44788327,1776366001
493436,44790127,1776369601
493437,44791927,1776373201
493438,44793727,1776376801
493439,44795527,1776380401
493440,44797327,1776384001
493441,44799127,1776387601
493442,44800927,1776391201
