# Base V4 Swap ticks cache (poolId 0x96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a)
# columns: timestamp_unix,tick  (decoded from V4 Swap log data word 4)
timestamp_unix,tick
1784338903,-201154
1784338903,-201153
1784338903,-201153
1784338903,-201152
1784338903,-201152
1784338903,-201152
1784338903,-201152
1784338903,-201151
1784338903,-201151
1784338903,-201151
1784338903,-201151
1784338903,-201151
1784338905,-201150
1784338905,-201150
1784338905,-201150
1784338905,-201149
1784338905,-201149
1784338907,-201148
1784338907,-201148
1784338909,-201148
1784338909,-201148
1784338909,-201149
1784338909,-201150
1784338909,-201150
1784338909,-201150
1784338911,-201150
1784338911,-201151
1784338911,-201151
1784338913,-201151
1784338913,-201151
1784338913,-201151
1784338913,-201151
1784338913,-201152
1784338913,-201151
1784338913,-201151
1784338913,-201151
1784338913,-201151
1784338915,-201151
1784338915,-201151
1784338915,-201152
1784338915,-201152
1784338917,-201152
1784338917,-201150
1784338917,-201151
1784338917,-201151
1784338917,-201151
1784338917,-201152
1784338917,-201152
1784338917,-201152
1784338919,-201152
1784338919,-201152
1784338921,-201152
1784338921,-201152
1784338923,-201153
1784338923,-201153
1784338923,-201153
1784338923,-201153
1784338923,-201154
1784338923,-201154
1784338923,-201153
1784338923,-201154
1784338923,-201154
1784338923,-201153
1784338923,-201153
1784338925,-201153
1784338925,-201154
1784338925,-201154
1784338925,-201153
1784338927,-201153
1784338927,-201153
1784338927,-201153
1784338927,-201154
1784338927,-201154
1784338927,-201151
1784338927,-201151
1784338927,-201151
1784338929,-201151
1784338929,-201151
1784338929,-201151
1784338929,-201150
1784338929,-201150
1784338929,-201150
1784338931,-201149
1784338931,-201148
1784338931,-201147
1784338931,-201146
1784338931,-201143
1784338931,-201142
1784338931,-201142
1784338931,-201141
1784338933,-201142
1784338933,-201143
1784338933,-201143
1784338935,-201144
1784338935,-201145
1784338935,-201145
1784338935,-201145
1784338935,-201145
1784338941,-201140
1784338941,-201140
1784338941,-201141
1784338941,-201141
1784338941,-201141
1784338941,-201142
1784338943,-201140
1784338943,-201139
1784338943,-201139
1784338943,-201141
1784338943,-201144
1784338943,-201144
1784338943,-201144
1784338943,-201144
1784338943,-201143
1784338943,-201143
1784338943,-201143
1784338943,-201142
1784338943,-201142
1784338943,-201142
1784338943,-201143
1784338943,-201143
1784338945,-201143
1784338947,-201143
1784338947,-201144
1784338947,-201144
1784338949,-201145
1784338949,-201145
1784338949,-201145
1784338949,-201144
1784338949,-201144
1784338951,-201144
1784338951,-201144
1784338953,-201147
1784338953,-201147
1784338953,-201147
1784338953,-201147
1784338953,-201148
1784338953,-201148
1784338955,-201147
1784338955,-201145
1784338955,-201145
1784338955,-201145
1784338955,-201145
1784338955,-201144
1784338955,-201144
1784338955,-201144
1784338957,-201143
1784338957,-201143
1784338957,-201143
1784338957,-201143
1784338957,-201143
1784338957,-201143
1784338963,-201142
1784338963,-201142
1784338963,-201141
1784338963,-201141
1784338965,-201141
1784338965,-201141
1784338965,-201143
1784338967,-201142
1784338967,-201142
1784338969,-201142
