# premium-accumulators.csv — SFPM getAccountPremium X64 accumulators, one row per scheduled read
# built: 2026-07-21   RPC: https://mainnet.base.org (failover https://base.drpc.org)
# SFPM: 0x8dcAa08cF298F8b4830FAf56d47930981AdE33af   vegoid: 8
# schedule rows: 8910   block range: 43781657..48157721
# accumulators and liquidity are DECIMAL Integer strings (they exceed 2^63; a Double round-trip would lose precision)
# columns: token_type,tick_lower,tick_upper,block,is_long,at_tick,acc0_x64,acc1_x64,net_liquidity,removed_liquidity,epoch,endpoint
token_type,tick_lower,tick_upper,block,is_long,at_tick,acc0_x64,acc1_x64,net_liquidity,removed_liquidity,epoch,endpoint
1,-201120,-198720,43781657,0,-199482,0,0,379830078445,0,492876,mint
0,-200160,-197760,43781657,0,-199482,0,0,398505615963,0,492876,mint
1,-201120,-198720,43914219,0,-200340,133598102204159296027,263640306083,1519320314,2278980470,492949,burn
0,-200160,-197760,43914219,0,-200340,123702939706517819862,247604124252,0,0,492949,burn
1,-201360,-198960,43877527,0,-199872,1343537761643504918,1916929979,375299581370,0,492929,
1,-201360,-198960,43879327,0,-199872,3202573341624900443,4472836619,375299581370,0,492930,
1,-201360,-198960,43881127,0,-199872,6051498303687967566,10027018355,375299581370,0,492931,
1,-201360,-198960,43882927,0,-199872,7283860899370007418,12926989349,375299581370,0,492932,
1,-201360,-198960,43884727,0,-199872,16389982158112212283,33226786313,375299581370,0,492933,
1,-201360,-198960,43886527,0,-199872,17371349976310281347,35782692953,375299581370,0,492934,
1,-201360,-198960,43888327,0,-199872,19204584520052216901,39075880354,375299581370,0,492935,
1,-201360,-198960,43890127,0,-200234,20180704968530453663,40697898029,375299581370,0,492936,
1,-201360,-198960,43891927,0,-200234,21421359278459431105,43745325176,375299581370,0,492937,
1,-201360,-198960,43893727,0,-200234,22282824504851100035,46350383866,375299581370,0,492938,
1,-201360,-198960,43895527,0,-200234,23140927906099540991,47530033084,375299581370,0,492939,
1,-201360,-198960,43897327,0,-200234,24070793960586600383,48857138455,375299581370,0,492940,
1,-201360,-198960,43899127,0,-200234,25734616053805282353,51413045094,375299581370,0,492941,
1,-201360,-198960,43900927,0,-200234,26547268276989894291,53821495582,375299581370,0,492942,
1,-201360,-198960,43902727,0,-200234,27059953029385764247,55148600952,375299581370,0,492943,
1,-201360,-198960,43904527,0,-200234,28290906251059107795,57901115795,375299581370,0,492944,
1,-201360,-198960,43906327,0,-200234,31082607285921518759,61931583957,375299581370,0,492945,
1,-201360,-198960,43908127,0,-200234,32623399966992625376,64340034444,375299581370,0,492946,
1,-201360,-198960,43909927,0,-200234,39028949621610260447,72253514617,375299581370,0,492947,
1,-201360,-198960,43911727,0,-200234,41812651546939814813,77660240200,375299581370,0,492948,
1,-201360,-198960,43913527,0,-200234,43371129003999421613,80560211195,375299581370,0,492949,
1,-201360,-198960,43915327,0,-200234,45757750173043710097,84197462951,375299581370,0,492950,
